time,1m_open,1m_high,1m_low,1m_close,5m_open,5m_high,5m_low,5m_close,15m_open,15m_high,15m_low,15m_close
2026-04-14 13:32:00,2378.62,2380.63,2378.32,2379.27,2374.02,2387.7,2374.02,2383.95,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:33:00,2379.26,2387.7,2379.26,2385.97,2374.02,2387.7,2374.02,2383.95,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:34:00,2386.07,2386.58,2382.42,2383.95,2374.02,2387.7,2374.02,2383.95,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:35:00,2383.96,2386.34,2382.55,2385.84,2383.96,2395.69,2382.55,2385.66,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:36:00,2385.99,2393.56,2384.44,2391.29,2383.96,2395.69,2382.55,2385.66,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:37:00,2391.04,2395.69,2388.21,2388.49,2383.96,2395.69,2382.55,2385.66,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:38:00,2388.68,2391.06,2387.86,2390.07,2383.96,2395.69,2382.55,2385.66,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:39:00,2389.91,2389.91,2385.61,2385.66,2383.96,2395.69,2382.55,2385.66,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:40:00,2385.42,2391.54,2385.03,2388.49,2385.42,2396.76,2385.03,2390.41,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:41:00,2388.54,2389.8,2385.7,2389.8,2385.42,2396.76,2385.03,2390.41,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:42:00,2389.87,2396.76,2389.61,2395.2,2385.42,2396.76,2385.03,2390.41,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:43:00,2394.85,2396.3,2390.12,2393.57,2385.42,2396.76,2385.03,2390.41,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:44:00,2393.51,2393.51,2390.29,2390.41,2385.42,2396.76,2385.03,2390.41,2374.02,2396.76,2374.02,2390.41
2026-04-14 13:45:00,2390.31,2394.05,2387.56,2393.89,2390.31,2394.05,2385.37,2388.0,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:46:00,2393.75,2393.75,2389.71,2391.69,2390.31,2394.05,2385.37,2388.0,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:47:00,2391.62,2393.66,2389.24,2391.76,2390.31,2394.05,2385.37,2388.0,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:48:00,2391.62,2391.62,2386.86,2388.75,2390.31,2394.05,2385.37,2388.0,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:49:00,2388.78,2389.91,2385.37,2388.0,2390.31,2394.05,2385.37,2388.0,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:50:00,2388.03,2391.16,2387.32,2389.7,2388.03,2394.04,2387.32,2391.1,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:51:00,2389.78,2393.33,2389.46,2390.84,2388.03,2394.04,2387.32,2391.1,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:52:00,2390.77,2394.04,2389.55,2392.77,2388.03,2394.04,2387.32,2391.1,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:53:00,2393.3,2393.99,2390.38,2390.89,2388.03,2394.04,2387.32,2391.1,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:54:00,2390.83,2393.93,2390.12,2391.1,2388.03,2394.04,2387.32,2391.1,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:55:00,2391.09,2391.47,2389.37,2391.24,2391.09,2394.04,2389.37,2392.66,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:56:00,2391.32,2394.04,2390.36,2392.76,2391.09,2394.04,2389.37,2392.66,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:57:00,2392.57,2393.6,2391.05,2391.35,2391.09,2394.04,2389.37,2392.66,2390.31,2394.05,2385.37,2392.66
2026-04-14 13:58:00,2391.37,2392.94,2391.37,2392.24,2391.09,2394.04,2389.37,2392.66,2390.31,2394.05,2385.37,2392.66
